Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude.data,longitude.data,altitude.data,utm_easting.data,utm_northing.data,zone_num.data,zone_letter.data,quality.data
1646352458.2154136,378,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352459.2185068,379,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352460.2124014,380,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352461.2108324,381,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352462.2116852,382,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352463.219704,383,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352464.2182217,384,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352465.217075,385,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352466.217215,386,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352467.2121577,387,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352468.2148626,388,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352469.2165859,389,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352470.2171876,390,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352471.2179282,391,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352472.216179,392,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352473.217832,393,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352474.2178185,394,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352475.219394,395,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352476.217912,396,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352477.2185733,397,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352478.2190397,398,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352479.2195976,399,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352480.2195504,400,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352481.232818,401,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352482.2209213,402,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352483.2199998,403,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352484.2199264,404,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352485.219929,405,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352486.2229457,406,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352487.2225475,407,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352488.2216482,408,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352489.2227905,409,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352490.2215967,410,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352491.2174358,411,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352492.21666,412,0,0,,42.33726,-71.08966666666666,16.3,327852.00561239384,4689337.680883807,19.0,T,0
1646352493.2155013,413,0,0,,42.33726,-71.08966666666666,16.4,327852.00561239384,4689337.680883807,19.0,T,0
1646352494.2194073,414,0,0,,42.33726,-71.08966666666666,16.4,327852.00561239384,4689337.680883807,19.0,T,0
1646352495.2220607,415,0,0,,42.33726,-71.08966666666666,16.4,327852.00561239384,4689337.680883807,19.0,T,0
